体育频道,#genre#
Al Dawri & Al-Kass Satellite Sports (Qatar),https://admdn1.cdn.mangomolo.com/adsports1/smil:adsports1.stream.smil/chunklist_b4000000_t64MTA4MHA=.m3u8
Bein Sports (USA),https://a.jsrdn.com/broadcast/542cb2ce3c/+0000/high/c.m3u8
Sport 1 (Germany),https://streaming.astrakhan.ru/astrakhanrusporthd/tracks-v1a1/mono.m3u8
Sky Sports (United Kingdom),https://dai.google.com/linear/hls/pa/event/YoBM0ae5Q62TPdrfFHS4RQ/stream/ecd43973-6c0f-4db3-9d47-fa8e70618f0f:BRU/variant/2bec17ce4b43ba5adacd2588b48725d4/bandwidth/3072000.m3u8
British Eurosport (UK),http://dmitwlvvll.cdn.mangomolo.com/dubaisportshd/smil:dubaisportshd.smil/chunklist_b1600000.m3u8
Sony Sports-1,https://lin-gd-001-cf.slivcdn.com/out/v1/7394bf66d54d42f09b7cc0ed4bb7e9e9/master_1.m3u8?hdntl=exp=1687758410~acl=*~hmac=b2637b2eaff3377b4749dad5d8ea9913f8f6e9bbf4da750cfd0c9d302481bb3d&originpath=/linear/hls/pa/event/wG75n5U8RrOKiFzaWObXbA/stream/1d6bb0e4-e9ec-4518-bd05-6c2d35e2c4db:GRQ/variant/f677e9376599d1d26e1409db0088af03/bandwidth/4704924.m3u8
Sony Sports-2,https://lin-gd-001-cf.slivcdn.com/out/v1/a2fb6f8486d9435bb34ee74a6e076b09/master_1.m3u8?hdntl=exp=1687758570~acl=*~hmac=8b71f5ce0269b1a0dae26e4b6d424e3e65ba08d2aa5610af27fac4f00d5f6e55&originpath=/linear/hls/pa/event/V9h-iyOxRiGp41ppQScDSQ/stream/81dc4463-ba68-4675-a39d-d9cced67aaca:GRQ/variant/282461b345f822b32de896910f770920/bandwidth/4704977.m3u8
Sony Sports2 HD,https://lin-gd-001-cf.slivcdn.com/out/v1/a2fb6f8486d9435bb34ee74a6e076b09/master_1.m3u8?hdntl=exp=1687759037~acl=*~hmac=e76b7fae2e21b39466b60f0b97b4ba43741c3f40cc1aacd458ff1d2abc7d4dfb&originpath=/linear/hls/pa/event/V9h-iyOxRiGp41ppQScDSQ/stream/406b748a-8a55-48dd-a611-4da9e3296cee:GRQ/variant/282461b345f822b32de896910f770920/bandwidth/4704977.m3u8
新闻频道,#genre#
Fox News Live (USA),https://fox-foxnewsnow-samsungus.amagi.tv/playlist720p.m3u8
CNN Live News (USA),https://cnn-cnninternational-1-eu.rakuten.wurl.tv/206849c7acd1570962df1ad525fa8688.m3u8
BBC News (UK),http://1292072398.rsc.cdn77.org/bJtKWltOKZuVoKuNzmWqNQ==,1687721170/1292072398/tracks-v1a1/mono.m3u8
Russia Today (Russian Federation),https://rt-glb.rttv.com/dvr/rtnews/playlist_4500Kb.m3u8
MSNBC (USA),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_11.m3u8
CNBC Live (USA),https://vidplus.pc.cdn.bitgravity.com/cnbceu-origin/live/cnbceu-origin/live_720p/chunks.m3u8
CBS (USA),https://cbsn-us.cbsnstream.cbsnews.com/out/v1/55a8648e8f134e82a470f83d562deeca/master_11.m3u8


